"Date", "Followers", "Gains", "Total_Following", "Followed", "Unfollowed"
01/30/2016,15211,0,469,469,0
01/31/2016,15480,+269,1354,892,0
02/01/2016,15555,+75,1486,135,0
02/02/2016,15714,+159,2122,645,0
02/03/2016,15803,+89,2552,434,0
02/04/2016,15946,+143,3024,477,0
02/05/2016,15984,+38,3031,7,0
02/06/2016,16076,+92,3085,63,0
02/07/2016,16144,+68,3902,810,0
02/08/2016,16409,+265,4305,416,0
02/09/2016,16571,+162,4697,395,0
02/10/2016,16651,+80,5086,401,0
02/11/2016,16866,+215,5613,523,0
02/12/2016,16892,+26,5667,57,0
02/13/2016,17026,+134,6461,802,0
02/14/2016,17209,+183,7262,816,0
02/15/2016,17297,+88,7371,127,0
02/16/2016,17322,+25,7352,0,25
02/17/2016,17365,+43,6184,0,1199
02/18/2016,17367,+2,4930,0,1279
02/19/2016,17373,+6,3911,0,1057
02/20/2016,17379,+6,2765,0,1177
02/21/2016,17402,+23,1559,0,1237
02/22/2016,17398,-4,295,0,1299
02/23/2016,17493,+95,1160,876,0
02/24/2016,17591,+98,1742,591,0
02/25/2016,17728,+137,2596,859,0
02/26/2016,17900,+172,3392,807,0
02/27/2016,18079,+179,4263,878,0
02/28/2016,18210,+131,5369,1117,0
02/29/2016,18375,+165,6616,1259,0
03/01/2016,18532,+157,7424,825,0
03/03/2016,18597,+65,7426,5,0
03/04/2016,18646,+49,6307,0,1193
03/05/2016,18644,-2,5452,0,876
03/07/2016,18660,+16,4192,0,1282
03/08/2016,18660,0,2980,0,1236
03/09/2016,18652,-8,2277,0,729
03/10/2016,18641,-11,1122,0,1162
03/11/2016,18640,-1,0,0,1170
03/12/2016,18651,+11,150,158,0
03/13/2016,18680,+29,328,177,0
03/14/2016,18710,+30,744,427,0
03/15/2016,18881,+171,2036,1297,0
03/16/2016,19037,+156,3181,1159,0
03/17/2016,19132,+95,3743,567,0
03/18/2016,19192,+60,4286,545,0
03/19/2016,19264,+72,4789,512,0
03/20/2016,19423,+159,5832,1049,0
03/21/2016,19517,+94,6607,775,0
03/22/2016,19616,+99,7176,578,0
03/23/2016,19665,+49,7498,326,0
03/24/2016,19700,+35,6584,0,943
03/25/2016,19691,-9,5333,0,1266
03/28/2016,19665,-26,4055,0,1291
03/29/2016,19665,0,2874,0,1197
03/30/2016,19662,-3,1771,0,1115
03/31/2016,19657,-5,608,0,1188
