Date, Followers, Gains, Total_Following, Followed, Unfollowed
09/09/2015,166,0,509,0,0
09/26/2015,1232,0,3091,4,0
09/29/2015,1287,+55,3336,166,0
09/30/2015,1340,+53,3419,70,0
10/01/2015,1372,+32,3551,128,0
10/02/2015,1426,+54,3698,159,0
10/03/2015,1478,+52,3738,40,0
10/04/2015,1542,+64,3991,248,0
10/05/2015,1635,+93,4181,191,0
10/06/2015,1666,+31,4185,2,0
10/07/2015,1731,+65,4383,200,0
10/08/2015,1818,+87,4525,142,0
10/09/2015,1849,+31,4557,33,0
10/10/2015,1873,+24,4620,64,0
10/12/2015,1942,+69,4718,100,0
10/13/2015,1962,+20,4717,4,0
10/14/2015,2041,+79,4922,208,0
10/15/2015,2103,+62,5097,181,0
10/16/2015,2170,+67,5174,77,0
10/17/2015,2282,+112,5659,490,0
10/18/2015,2445,+163,6065,412,0
10/19/2015,2636,+191,6611,546,0
10/20/2015,2821,+185,6979,367,0
10/21/2015,3003,+182,7459,487,0
10/22/2015,3077,+74,6777,0,700
10/23/2015,3103,+26,6089,0,707
10/24/2015,3116,+13,5397,0,701
10/25/2015,3148,+32,4648,0,754
10/26/2015,3163,+15,3922,0,739
10/27/2015,3187,+24,3203,0,893
10/28/2015,3189,+2,2496,0,871
10/29/2015,3193,+4,1820,0,838
10/30/2015,3200,+7,858,0,1000
10/31/2015,3196,-4,44,0,1000
11/01/2015,3194,-2,2,0,53
11/02/2015,3280,+86,660,664,0
11/03/2015,3517,+237,1364,705,0
11/04/2015,3705,+188,2084,727,0
11/05/2015,3923,+218,2863,780,0
11/06/2015,4105,+182,3684,832,0
11/07/2015,4357,+252,4437,759,0
11/12/2015,5492,+1135,6809,0,706
11/13/2015,5542,+50,5860,0,974
11/14/2015,5584,+42,4866,0,1000
11/15/2015,5604,+20,3833,0,1041
11/16/2015,5611,+7,2796,0,1040
11/17/2015,5612,+1,1759,0,1043
11/18/2015,5606,-6,721,0,1039
11/20/2015,5605,-1,6,0,934
11/21/2015,5600,-5,2,0,6
11/22/2015,5609,+9,305,305,0
11/23/2015,5668,+59,326,24,0
11/24/2015,5699,+31,438,112,0
11/25/2015,5882,+183,1137,701,0
