"Date", "Followers", "Gains", "Total_Following", "Followed", "Unfollowed"
09/09/2015,67,0,220,1,0
09/10/2015,88,+21,306,78,0
09/11/2015,96,+8,307,1,0
09/26/2015,463,0,1418,5,0
09/27/2015,465,+2,1428,10,0
09/29/2015,506,+41,1684,255,0
09/30/2015,570,+64,1817,134,0
10/01/2015,592,+22,1923,106,0
10/02/2015,644,+52,1964,52,0
10/03/2015,657,+13,1975,11,0
10/04/2015,661,+4,1981,6,0
10/05/2015,707,+46,2196,213,0
10/06/2015,714,+7,2202,6,0
10/07/2015,720,+6,2204,2,0
10/08/2015,720,0,2214,8,0
10/09/2015,723,+3,2213,5,0
10/10/2015,725,+2,2214,1,0
10/12/2015,751,+26,2306,91,0
10/13/2015,757,+6,2304,1,0
10/14/2015,790,+33,2422,123,0
10/15/2015,839,+49,2538,116,0
10/16/2015,854,+15,2542,5,0
10/17/2015,864,+10,2597,61,0
10/18/2015,918,+54,3113,519,0
10/19/2015,1155,+237,3712,586,0
10/20/2015,1371,+216,4399,689,0
10/21/2015,1600,+229,4900,500,0
10/22/2015,1872,+272,5503,619,0
10/23/2015,2102,+230,6033,529,0
10/24/2015,2340,+238,6712,681,0
10/25/2015,2545,+205,7214,503,0
10/26/2015,2676,+131,6665,18,587
10/27/2015,2733,+57,5986,0,705
10/28/2015,2771,+38,5110,0,896
10/29/2015,2788,+17,4416,0,716
10/30/2015,2791,+3,3487,0,950
10/31/2015,2783,-8,2552,0,988
11/01/2015,2758,-25,1576,0,1000
11/02/2015,2730,-28,593,0,1000
11/03/2015,2723,-7,0,0,665
11/04/2015,2711,-12,0,541,0
11/05/2015,2771,+60,675,681,0
11/06/2015,2901,+130,1265,590,0
11/07/2015,3027,+126,1852,587,0
11/12/2015,3714,+687,4631,30,0
11/13/2015,3843,+129,5314,687,0
11/14/2015,4026,+183,5891,584,0
11/15/2015,4211,+185,6326,432,0
11/16/2015,4289,+78,6332,11,0
11/17/2015,4319,+30,6317,2,549
11/18/2015,4330,+11,5523,0,802
11/20/2015,4344,+14,4935,0,587
11/21/2015,4350,+6,4626,0,318
11/22/2015,4358,+8,3901,0,732
11/23/2015,4359,+1,3241,0,674
11/24/2015,4359,0,2884,0,359
11/25/2015,4355,-4,2083,0,914
11/26/2015,4350,-5,1060,0,1000
11/27/2015,4344,-6,625,0,446
11/28/2015,4332,-12,167,0,537
11/29/2015,4322,-10,0,0,182
11/30/2015,4324,+2,1,33,0
12/01/2015,4325,+1,7,5,0
12/02/2015,4394,+69,470,468,0
12/03/2015,4559,+165,1056,577,0
12/04/2015,4678,+119,1646,593,0
12/05/2015,4796,+118,1943,303,0
12/06/2015,4925,+129,2395,455,0
12/07/2015,5091,+166,2916,516,0
12/08/2015,5206,+115,3334,432,0
12/09/2015,5343,+137,3771,432,0
12/11/2015,5549,+206,4286,512,0
12/12/2015,5694,+145,4844,563,0
12/13/2015,5830,+136,5370,529,0
12/14/2015,6022,+192,5937,568,0
12/15/2015,6205,+183,6544,611,0
12/16/2015,6469,+264,7232,687,0
12/17/2015,6622,+153,7490,256,0
12/18/2015,6652,+30,7500,18,0
12/19/2015,6689,+37,7068,0,467
12/20/2015,6716,+27,6348,0,728
12/21/2015,6731,+15,6050,0,310
12/22/2015,6724,-7,5914,0,146
12/23/2015,6728,+4,5355,0,568
12/24/2015,6715,-13,5058,0,305
12/25/2015,6724,+9,4697,0,363
12/26/2015,6698,-26,4474,0,240
12/28/2015,6684,-14,4062,0,427
12/29/2015,6671,-13,3979,0,190
01/03/2016,6727,+56,3658,0,317
01/04/2016,6740,+13,2922,0,740
01/05/2016,6755,+15,1927,0,1000
01/06/2016,6773,+18,941,0,1000
01/07/2016,6793,+20,80,0,1000
01/08/2016,6828,+35,1,0,89
01/09/2016,6845,+17,1,0,0
01/11/2016,6870,+25,0,0,0
01/12/2016,6951,+81,524,551,0
01/13/2016,7076,+125,1150,625,0
01/15/2016,7286,+210,1801,641,0
01/16/2016,7407,+121,2382,582,0
01/17/2016,7612,+205,3408,1027,0
01/18/2016,7822,+210,4221,813,0
01/19/2016,7957,+135,5173,956,0
01/20/2016,8193,+236,5993,846,0
01/21/2016,8382,+189,7040,1047,0
01/22/2016,8570,+188,7492,455,0
01/23/2016,8709,+139,6427,0,1075
01/24/2016,8748,+39,5395,0,1035
01/25/2016,8790,+42,4415,0,1020
01/26/2016,8804,+14,3360,0,1051
01/27/2016,8831,+27,2325,0,1051
01/28/2016,8839,+8,1302,0,1029
01/29/2016,8866,+27,294,0,1029
01/30/2016,8878,+12,0,0,304
01/31/2016,8977,+99,885,886,0
02/01/2016,9083,+106,1148,263,0
02/02/2016,9220,+137,2005,859,0
02/03/2016,9412,+192,2854,852,0
02/04/2016,9597,+185,3917,1060,0
02/05/2016,9656,+59,3922,10,0
02/06/2016,9774,+118,4015,88,0
02/07/2016,9885,+111,5110,1097,0
02/08/2016,10035,+150,5257,152,0
02/09/2016,10219,+184,6030,779,0
02/10/2016,10380,+161,6610,581,0
02/11/2016,10544,+164,6678,70,0
02/12/2016,10591,+47,6726,50,0
02/13/2016,10633,+42,7492,769,0
02/14/2016,10657,+24,6007,0,1496
02/15/2016,10661,+4,5154,0,852
02/16/2016,10685,+24,4276,0,886
02/17/2016,10714,+29,2871,0,1418
02/18/2016,10699,-15,1747,0,1144
02/19/2016,10706,+7,864,0,888
02/20/2016,10706,0,0,0,892
02/21/2016,10773,+67,1007,1028,0
02/22/2016,10923,+150,2005,998,0
02/23/2016,11060,+137,2686,684,0
02/24/2016,11110,+50,2726,39,0
02/25/2016,11163,+53,2772,47,0
02/26/2016,11295,+132,3473,701,0
02/27/2016,11502,+207,4538,1070,0
02/28/2016,11782,+280,5410,873,0
02/29/2016,11980,+198,6408,1001,0
03/01/2016,12161,+181,7173,776,0
03/03/2016,12289,+128,7186,9,0
03/04/2016,12378,+89,7500,318,0
03/05/2016,12390,+12,7500,0,0
03/07/2016,12480,+90,7500,2,0
03/08/2016,12510,+30,7025,0,481
03/09/2016,12543,+33,5613,0,1430
03/10/2016,12551,+8,4177,0,1471
03/11/2016,12533,-18,2795,0,1408
03/12/2016,12515,-18,1820,0,978
03/13/2016,12531,+16,1095,0,734
03/14/2016,12547,+16,0,0,1289
03/15/2016,12551,+4,0,0,0
03/16/2016,12618,+67,679,696,0
03/17/2016,12733,+115,1189,513,0
03/18/2016,12866,+133,1811,620,0
03/19/2016,12960,+94,2290,474,0
03/20/2016,13119,+159,3121,845,0
03/21/2016,13260,+141,4078,951,0
03/22/2016,13359,+99,4337,258,0
03/23/2016,13530,+171,5186,849,0
03/24/2016,13705,+175,6179,999,0
03/25/2016,13849,+144,7062,885,0
03/28/2016,14044,+195,7488,434,0
03/29/2016,14085,+41,6012,0,1490
03/30/2016,14095,+10,4833,0,1199
03/31/2016,14129,+34,4832,0,6
04/03/2016,14168,+39,3836,0,1000
04/04/2016,14186,+18,2462,0,1426
04/05/2016,14182,-4,1215,0,1263
04/06/2016,14175,-7,0,0,1329
04/07/2016,14284,+109,889,909,0
04/08/2016,14432,+148,1740,847,0
04/09/2016,14579,+147,2671,932,0
04/10/2016,14759,+180,3601,934,0
04/11/2016,14958,+199,4474,874,0
04/12/2016,15147,+189,5418,945,0
04/13/2016,15341,+194,6478,1065,0
04/14/2016,15516,+175,7447,971,0
04/15/2016,15609,+93,6444,0,1016
04/16/2016,15626,+17,5220,0,1237
04/17/2016,15673,+47,5214,0,8
04/21/2016,15794,+121,4983,0,232
04/22/2016,15799,+5,3594,0,1406
04/23/2016,15800,+1,2129,0,1504
04/24/2016,15778,-22,1014,0,1126
04/25/2016,15784,+6,1014,0,1
04/27/2016,15834,+50,996,0,113
04/28/2016,15842,+8,0,0,1003
04/29/2016,15844,+2,0,0,0
04/30/2016,15939,+95,1037,1065,0
05/01/2016,16221,+282,2122,1076,0
05/02/2016,16444,+223,3047,930,0
05/03/2016,16732,+288,4065,1017,0
05/04/2016,16969,+237,5019,954,0
05/05/2016,17228,+259,6023,1003,0
05/06/2016,17355,+127,6819,799,0
05/08/2016,17529,+174,6691,0,128
05/09/2016,17566,+37,5240,0,1464
05/10/2016,17572,+6,4117,0,1127
05/11/2016,17598,+26,2626,0,1491
05/12/2016,17628,+30,1969,0,661
05/13/2016,17647,+19,1824,0,147
05/14/2016,17669,+22,1808,0,16
05/17/2016,17730,+61,751,0,1073
05/18/2016,17751,+21,152,0,602
05/19/2016,17779,+28,0,0,158
05/22/2016,17952,+173,808,825,0
05/23/2016,18172,+220,1740,925,0
05/24/2016,18420,+248,2628,888,0
05/25/2016,18646,+226,3462,839,0
05/26/2016,18889,+243,4311,847,0
05/27/2016,19115,+226,5346,1040,0
05/28/2016,19297,+182,6411,1066,0
05/29/2016,19462,+165,7270,866,0
05/30/2016,19563,+101,7432,164,0
05/31/2016,19662,+99,6862,0,578
06/01/2016,19728,+66,5788,0,1081
06/03/2016,19799,+71,4720,0,1072
06/04/2016,19812,+13,3726,0,1002
06/05/2016,19843,+31,2671,0,1058
06/06/2016,19901,+58,1684,0,1002
06/08/2016,19982,+81,625,0,1066
06/10/2016,19991,+9,0,0,754
06/11/2016,20005,+14,0,0,1
06/12/2016,20046,+41,91,93,0
06/13/2016,20111,+65,276,193,0
06/14/2016,20213,+102,1090,814,0
06/15/2016,20439,+226,2113,1018,0
06/16/2016,20724,+285,3060,948,0
06/17/2016,20939,+215,3961,905,0
06/18/2016,21076,+137,4083,122,0
06/19/2016,21174,+98,4523,451,0
06/20/2016,21269,+95,4712,187,0
06/21/2016,21428,+159,5482,769,0
06/22/2016,21524,+96,5794,319,0
06/23/2016,21667,+143,6726,928,0
06/24/2016,21760,+93,6840,118,0
06/25/2016,21870,+110,7498,653,0
06/26/2016,21922,+52,7500,3,0
07/04/2016,22399,+477,6427,0,1072
07/05/2016,22446,+47,5421,0,1014
07/06/2016,22496,+50,4382,0,1043
07/07/2016,22529,+33,3349,0,1037
07/08/2016,22559,+30,3028,0,336
07/09/2016,22590,+31,1943,0,1091
07/10/2016,22620,+30,1568,0,380
07/11/2016,22685,+65,1739,173,0
07/12/2016,22817,+132,2626,889,0
07/13/2016,22996,+179,3617,996,0
07/14/2016,23164,+168,4468,862,0
07/16/2016,23405,+241,5341,881,0
07/17/2016,23503,+98,5663,324,0
07/18/2016,23615,+112,6528,879,0
