"Date", "Followers", "Gains", "Total_Following", "Followed", "Unfollowed"
02/13/2016,11762,0,7084,775,0
02/14/2016,11903,+141,7489,412,0
02/15/2016,11947,+44,6720,0,774
02/16/2016,11961,+14,5831,0,889
02/17/2016,11995,+34,4686,0,1143
02/18/2016,11989,-6,3319,0,1375
02/19/2016,11999,+10,3103,0,222
02/22/2016,12029,+30,1903,0,1196
02/23/2016,12065,+36,713,0,1194
02/24/2016,12094,+29,250,0,498
02/25/2016,12102,+8,3,0,273
02/26/2016,12205,+103,581,603,0
02/27/2016,12380,+175,1512,929,0
02/28/2016,12572,+192,2495,988,0
02/29/2016,12773,+201,3532,1033,0
03/01/2016,13001,+228,4307,784,0
03/03/2016,13217,+216,5090,783,0
03/04/2016,13406,+189,5994,904,0
03/05/2016,13538,+132,6948,960,0
03/07/2016,13786,+248,7444,499,0
03/08/2016,13836,+50,7119,0,337
03/09/2016,13849,+13,5918,0,1219
03/10/2016,13864,+15,4815,0,1112
03/11/2016,13865,+1,3660,0,1170
03/12/2016,13877,+12,2978,0,695
03/13/2016,13911,+34,2456,0,518
03/14/2016,13920,+9,1344,0,1125
03/15/2016,13914,-6,180,0,1168
03/16/2016,13937,+23,0,0,201
03/17/2016,13974,+37,262,271,1
03/18/2016,14088,+114,871,620,0
03/19/2016,14184,+96,1365,491,0
03/20/2016,14365,+181,2301,934,0
03/21/2016,14523,+158,3232,934,0
03/22/2016,14667,+144,3793,567,0
03/23/2016,14822,+155,4753,962,0
03/24/2016,14959,+137,5705,955,0
03/25/2016,15184,+225,6700,1000,0
03/28/2016,15488,+304,7491,795,0
03/29/2016,15525,+37,6381,0,1121
03/30/2016,15535,+10,5292,0,1107
03/31/2016,15559,+24,4538,0,762
04/01/2016,15555,-4,4493,0,47
04/02/2016,15577,+22,4412,0,81
04/03/2016,15600,+23,3725,0,702
04/04/2016,15611,+11,2692,0,1065
04/05/2016,15617,+6,1792,0,911
04/06/2016,15623,+6,768,0,1090
04/07/2016,15630,+7,0,0,798
04/08/2016,15747,+117,834,856,0
04/09/2016,15895,+148,1780,940,0
04/10/2016,16050,+155,2765,986,0
04/11/2016,16253,+203,3763,1000,0
04/12/2016,16439,+186,4685,925,0
04/13/2016,16608,+169,5697,1012,0
04/14/2016,16790,+182,6766,1076,0
04/15/2016,17011,+221,7496,733,0
04/16/2016,17072,+61,7070,0,436
04/17/2016,17114,+42,5878,0,1201
04/18/2016,17140,+26,4713,0,1175
04/19/2016,17173,+33,3767,0,946
04/20/2016,17183,+10,2638,0,1136
04/21/2016,17201,+18,1584,0,1069
04/22/2016,17233,+32,1567,0,25
04/23/2016,17267,+34,1560,0,9
04/24/2016,17269,+2,1522,0,38
04/27/2016,17366,+97,1506,0,75
04/28/2016,17392,+26,733,0,795
04/29/2016,17389,-3,0,0,752
04/30/2016,17511,+122,955,979,0
05/01/2016,17779,+268,1972,1006,0
05/02/2016,18001,+222,2882,914,0
05/03/2016,18301,+300,3948,1068,0
05/04/2016,18551,+250,5010,1065,0
05/05/2016,18823,+272,6067,1055,0
05/06/2016,18955,+132,7012,945,0
05/08/2016,19169,+214,6920,0,96
05/09/2016,19220,+51,5767,0,1158
05/10/2016,19272,+52,4867,0,907
05/11/2016,19322,+50,3667,0,1209
05/12/2016,19352,+30,2628,0,1045
05/13/2016,19371,+19,2319,0,312
05/17/2016,19488,+117,1270,0,1052
05/18/2016,19519,+31,843,0,455
05/19/2016,19549,+30,0,0,842
05/20/2016,19588,+39,0,0,1
05/21/2016,19750,+162,1048,1064,0
05/22/2016,19997,+247,2119,1068,0
05/23/2016,20232,+235,3161,1038,0
05/24/2016,20513,+281,4168,1009,0
05/25/2016,20742,+229,5082,924,0
05/26/2016,20961,+219,6079,1001,0
05/27/2016,21186,+225,7175,1095,0
05/28/2016,21358,+172,7500,324,0
05/29/2016,21401,+43,6450,1,1057
05/30/2016,21433,+32,5481,0,972
05/31/2016,21479,+46,4915,0,567
06/01/2016,21520,+41,3887,0,1033
06/03/2016,21568,+48,2811,0,1084
06/04/2016,21556,-12,1767,0,1048
06/05/2016,21566,+10,854,0,923
06/06/2016,21608,+42,80,0,816
06/08/2016,21647,+39,1,0,173
06/10/2016,21695,+48,0,0,4
06/11/2016,21704,+9,0,0,2
06/12/2016,21742,+38,87,93,0
06/13/2016,21835,+93,262,172,0
06/14/2016,21956,+121,1064,805,0
06/15/2016,22201,+245,2070,1008,0
06/16/2016,22500,+299,3133,1065,0
06/17/2016,22737,+237,4222,1092,0
06/18/2016,22892,+155,4342,122,0
06/19/2016,22957,+65,4781,444,0
06/20/2016,23040,+83,4970,189,0
06/21/2016,23212,+172,5999,1029,0
06/22/2016,23376,+164,6601,613,0
06/23/2016,23572,+196,7497,887,0
06/24/2016,23654,+82,7501,6,0
06/25/2016,23686,+32,7501,0,0
07/05/2016,24174,+488,6443,0,1061
07/06/2016,24242,+68,5442,0,1008
07/07/2016,24289,+47,4434,0,1008
07/08/2016,24326,+37,4126,0,320
07/09/2016,24389,+63,3132,0,998
07/10/2016,24421,+32,2824,0,313
07/11/2016,24488,+67,2987,163,0
07/12/2016,24597,+109,3973,992,0
07/13/2016,24795,+198,5029,1067,0
07/14/2016,24928,+133,6016,994,0
07/16/2016,25134,+206,6873,864,0
07/17/2016,25236,+102,7304,425,0
07/18/2016,25326,+90,7500,196,0
07/19/2016,25361,+35,6549,0,957
07/20/2016,25378,+17,5486,0,1085
07/21/2016,25406,+28,4722,0,956
07/22/2016,25438,+32,3986,0,868
07/23/2016,25465,+27,3174,0,955
07/24/2016,25480,+15,2244,0,936
07/25/2016,25525,+45,1197,0,1063
07/26/2016,25537,+12,383,0,922
07/27/2016,25708,+171,1632,1280,0
07/28/2016,25942,+234,2736,1130,0
07/29/2016,26107,+165,3928,1205,0
07/30/2016,26316,+209,4969,1058,0
07/31/2016,26450,+134,6085,1140,0
08/01/2016,26676,+226,7176,1108,0
08/02/2016,26792,+116,6247,0,948
08/03/2016,26850,+58,5187,0,1090
08/04/2016,26901,+51,4222,0,985
08/05/2016,26933,+32,3295,0,933
08/06/2016,26942,+9,2372,0,939
